周次,文档索引,日期,标签,主要主题,主题概率,主题0概率,主题1概率,主题2概率,主题3概率,主题4概率,主题5概率,主题6概率,主题7概率
2,4754,2025-11-14 19:06:26,people,1,0.9941194,0.0008400887,0.9941194,0.0008400887,0.0008400888182222843,0.0008400887018069625,0.0008400888182222843,0.0008400885853916407,0.0008400887018069625
2,4756,2025-11-14 08:27:32,people,1,0.99668455,0.00047363367,0.99668455,0.00047363367,0.00047363367048092186,0.00047363367048092186,0.0004736337286885828,0.00047363468911498785,0.00047363367048092186
2,4757,2025-11-14 08:28:56,people,1,0.9949693,0.0007186672,0.9949693,0.0007186672,0.000718667171895504,0.000718667171895504,0.0007186672301031649,0.000718667171895504,0.000718667171895504
2,4769,2025-11-15 05:46:41,people,1,0.99799573,0.00028632706,0.99799573,0.00028632706,0.00028632706380449235,0.00028632706380449235,0.0002863270929083228,0.00028632787871174514,0.00028632706380449235
2,4770,2025-11-15 14:39:13,people,1,0.9953654,0.00066208694,0.9953654,0.00066208694,0.0006620869389735162,0.0006620869389735162,0.000662087055388838,0.0006620913627557456,0.0006620869389735162
2,4801,2025-11-17 08:48:59,people,1,0.9934145,0.0009407872,0.9934145,0.00094078726,0.0009407872566953301,0.0009407871984876692,0.0009407872566953301,0.0009407912148162723,0.0009407871984876692
2,4802,2025-11-18 00:20:58,people,1,0.99138075,0.0012313254,0.99138075,0.0012313252,0.0012313250917941332,0.001231325208209455,0.001231325208209455,0.0012313253246247768,0.001231325208209455
2,4803,2025-11-19 17:32:24,people,1,0.99528086,0.00067415915,0.99528086,0.0006741594,0.0006741591496393085,0.0006741591496393085,0.0006741652614437044,0.0006742142140865326,0.0006741592660546303
2,4804,2025-11-20 08:51:29,people,1,0.9957999,0.0005999814,0.9957999,0.0005999814,0.0005999848362989724,0.0005999814602546394,0.0006001971778459847,0.0005999901331961155,0.0005999814020469785
2,4805,2025-11-17 08:48:55,people,1,0.99282026,0.0010256753,0.99282026,0.0010256753,0.00102567533031106,0.00102567533031106,0.00102567533031106,0.0010256801033392549,0.00102567533031106
2,4808,2025-11-14 11:03:28,people,1,0.99751115,0.00035551898,0.99751115,0.00035551903,0.0003555190342012793,0.00035551906330510974,0.00035552785266190767,0.00035579322138801217,0.0003555189468897879
2,4810,2025-11-14 14:30:18,people,1,0.99835837,0.00023452219,0.99835837,0.00023452219,0.00023452218738384545,0.0002345222164876759,0.000234522158280015,0.00023455441987607628,0.00023452218738384545
2,4811,2025-11-17 08:36:15,people,1,0.99611604,0.00055484293,0.99611604,0.000554843,0.0005548429326154292,0.0005548429908230901,0.0005548429326154292,0.0005549057386815548,0.0005548428744077682
2,4812,2025-11-15 13:06:34,people,1,0.9910352,0.0012806529,0.9910352,0.0012806527,0.0012806527083739638,0.0012806527083739638,0.0012806529412046075,0.0012808697065338492,0.0012806529412046075
2,4843,2025-11-17 15:53:55,people,1,0.99878263,0.00017390716,0.99878263,0.00017390717,0.00017390715947840363,0.00017390715947840363,0.0001739114086376503,0.00017392224981449544,0.00017390715947840363
2,4844,2025-11-17 08:50:51,people,1,0.99589086,0.00058701437,0.99589086,0.0005870143,0.0005870143068023026,0.0005870143068023026,0.0005870144232176244,0.0005870910827070475,0.0005870143068023026
2,4845,2025-11-14 16:49:10,people,1,0.990143,0.0014081419,0.990143,0.0014081417,0.0014081416884437203,0.0014081416884437203,0.001408141921274364,0.0014081626432016492,0.001408141921274364
2,4846,2025-11-18 08:35:51,people,1,0.997332,0.00038114996,0.997332,0.00038115002,0.0003811499336734414,0.0003811499336734414,0.00038116256473585963,0.0003811790084000677,0.0003811499336734414
2,4875,2025-11-20 08:56:25,people,1,0.9954129,0.00065530004,0.9954129,0.00065530004,0.0006553000421263278,0.0006552999257110059,0.0006553000421263278,0.0006553181447088718,0.0006552999257110059
2,4877,2025-11-19 15:42:38,people,1,0.9871189,0.0018401435,0.9871189,0.0018401435,0.0018401434645056725,0.0018401432316750288,0.0018401434645056725,0.0018402436980977654,0.0018401434645056725
2,4878,2025-11-20 05:56:55,people,1,0.99603766,0.0005660514,0.99603766,0.0005660514,0.0005660513998009264,0.0005660513998009264,0.0005660514580085874,0.0005660582683049142,0.0005660513998009264
2,4879,2025-11-20 06:00:01,people,1,0.9953887,0.0006587627,0.9953887,0.0006587627,0.0006587626994587481,0.0006587626994587481,0.0006587626994587481,0.0006587810348719358,0.0006587626994587481
2,4880,2025-11-18 11:28:49,people,1,0.99356186,0.00091973145,0.99356186,0.00091973145,0.0009197314502671361,0.0009197314502671361,0.0009197314502671361,0.0009197352919727564,0.0009197314502671361
2,4881,2025-11-20 08:19:45,people,1,0.9962737,0.000532324,0.9962737,0.000532324,0.0005323240184225142,0.0005323240184225142,0.0005323240766301751,0.0005323623190633953,0.0005323240184225142
2,4882,2025-11-20 08:40:05,people,1,0.99621695,0.00054043566,0.99621695,0.0005404357,0.0005404357216320932,0.0005404357216320932,0.0005404357216320932,0.0005404442781582475,0.0005404357216320932
2,4883,2025-11-18 11:35:31,people,1,0.99602354,0.0005680563,0.99602354,0.00056805625,0.0005680563044734299,0.000568056246265769,0.0005680563044734299,0.0005680898320861161,0.0005680563044734299
2,4884,2025-11-17 08:50:32,people,1,0.9940438,0.00085088576,0.9940438,0.00085088576,0.0008508857572451234,0.0008508857572451234,0.0008508857572451234,0.0008508890168741345,0.0008508857572451234
2,4885,2025-11-17 09:20:17,people,1,0.99744153,0.00036549356,0.99744153,0.0003654936,0.00036549355718307197,0.00036549355718307197,0.00036549358628690243,0.00036549477954395115,0.00036549358628690243
2,4886,2025-11-18 11:28:40,people,1,0.99299276,0.0010010386,0.99299276,0.0010010386,0.0010010385885834694,0.0010010385885834694,0.0010010385885834694,0.0010010540718212724,0.0010010385885834694
2,4887,2025-11-15 09:08:02,people,1,0.992961,0.0010055647,0.992961,0.0010055644,0.0010055646998807788,0.0010055643506348133,0.0010055643506348133,0.001005660044029355,0.0010055642342194915
2,4889,2025-11-17 08:45:19,people,1,0.9935599,0.0009200184,0.9935599,0.0009200184,0.0009200185304507613,0.0009200184140354395,0.0009200184140354395,0.0009200313361361623,0.0009200184140354395
2,4946,2025-11-19 09:49:46,people,1,0.9985416,0.0002083453,0.9985416,0.0002083453,0.000208345300052315,0.00020834531460423023,0.000208345300052315,0.00020836024486925453,0.000208345300052315
2,4947,2025-11-20 05:58:40,people,1,0.9987116,0.00018404811,0.9987116,0.0001840481,0.00018404809816274792,0.00018404811271466315,0.0001841086777858436,0.00018407143943477422,0.00018404809816274792
2,4949,2025-11-20 09:19:21,people,1,0.99476475,0.00074788363,0.99476475,0.0007478839,0.0007478835759684443,0.0007478836341761053,0.0007479189662262797,0.0007479543564841151,0.0007478836341761053
2,4950,2025-11-20 08:23:40,people,1,0.9989278,0.00015317877,0.9989278,0.00015317876,0.0001531787565909326,0.00015317877114284784,0.0001531787565909326,0.00015320652164518833,0.00015317877114284784
2,4954,2025-11-20 09:20:19,people,1,0.9986208,0.00019701691,0.9986208,0.00019701691,0.0001970169396372512,0.00019701691053342074,0.0001970168959815055,0.0001971068704733625,0.00019701691053342074
2,4957,2025-11-20 09:46:21,people,5,0.642178,0.00041064664,0.35535818,0.00041064664,0.00041064663673751056,0.0004106466076336801,0.6421779990196228,0.00041066063567996025,0.0004106466076336801
2,4958,2025-11-18 08:58:33,people,1,0.9982061,0.00025627803,0.9982061,0.000256278,0.00025627805734984577,0.0002562780282460153,0.0002562780282460153,0.0002563023299444467,0.00025627799914218485
2,4959,2025-11-18 09:03:01,people,1,0.9982192,0.00025439786,0.9982192,0.00025439798,0.00025439789169467986,0.0002543978625908494,0.00025439789169467986,0.0002544440212659538,0.00025439789169467986
2,4960,2025-11-18 11:26:10,people,1,0.9985095,0.0002129247,0.9985095,0.0002129247,0.00021292470046319067,0.00021292470046319067,0.00021292470046319067,0.00021294353064149618,0.00021292470046319067
2,4961,2025-11-19 08:22:29,people,1,0.9990048,0.0001421646,0.9990048,0.0001421646,0.00014216465933714062,0.00014216461568139493,0.0001421646011294797,0.0001422048662789166,0.0001421646011294797
2,4962,2025-11-19 08:46:09,people,1,0.99717754,0.00040321247,0.99717754,0.00040321265,0.0004032124998047948,0.0004032124998047948,0.00040321247070096433,0.00040324917063117027,0.0004032124998047948
2,4963,2025-11-19 08:36:01,people,1,0.9851003,0.0021285282,0.9851003,0.002128529,0.0021285274997353554,0.0021285281982272863,0.002128527732565999,0.002128560794517398,0.0021285281982272863
2,4964,2025-11-19 08:35:42,people,1,0.99492776,0.0007246109,0.99492776,0.0007246109,0.0007246108725667,0.0007246109889820218,0.0007246113964356482,0.0007246283930726349,0.0007246110471896827
2,4965,2025-11-19 09:35:22,people,1,0.99835914,0.00023440502,0.99835914,0.00023440507,0.00023440507357008755,0.00023440501536242664,0.00023441272787749767,0.00023440892982762307,0.00023440513177774847
2,4966,2025-11-17 16:02:53,people,1,0.9742471,0.00036110263,0.9742471,0.00036110255,0.00036110254586674273,0.00036110260407440364,0.00036111753433942795,0.023586245253682137,0.00036110260407440364
2,4967,2025-11-18 08:39:15,people,1,0.98748416,0.0017879654,0.98748416,0.0017879657,0.0017879651859402657,0.0017879651859402657,0.0017879651859402657,0.0017880318919196725,0.0017879651859402657
2,4968,2025-11-18 08:46:37,people,1,0.99471587,0.0007548785,0.99471587,0.00075487857,0.0007548785069957376,0.0007548785069957376,0.0007548785069957376,0.0007549084257334471,0.0007548785069957376
2,4969,2025-11-18 08:54:07,people,1,0.9949737,0.00071802817,0.9949737,0.00071802817,0.000718028168193996,0.0007180282264016569,0.0007180282264016569,0.0007180687389336526,0.000718028168193996
2,4970,2025-11-18 08:55:53,people,1,0.99184746,0.0011646592,0.99184746,0.0011646599,0.001164659159258008,0.001164659159258008,0.0011646590428426862,0.0011646657949313521,0.001164659159258008
2,4971,2025-11-17 08:37:12,people,1,0.9982993,0.00024295975,0.9982993,0.00024295975,0.00024295975163113326,0.00024295978073496372,0.0002429597225273028,0.0002429976302664727,0.00024295978073496372
